"weight";"word";"color";"url"
"13";"DOLCE";"#04210d";""
"6";"OWL-Time";"#0d6912";""
"6";"SWEET";"#04210d";""
"5";"FOAF";"#0d6912";""
"4";"BFO";"#04210d";""
"4";"GeoSPARQL";"#0d6912";""
"4";"MOAC";"#ebc51d";""
"4";"SKOS";"#0d6912";""
"4";"SSN";"#0d6912";""
"4";"SUMO";"#04210d";""
"3";"EM-DAT-glossary";"#84b823";""
"3";"Geonames";"#0d6912";""
"3";"HXL";"#ebc51d";""
"3";"SIOC";"#0d6912";""
"3";"SoKNOS";"#ebc51d";""
"2";"BasicGeo(WGS84)";"#0d6912";""
"2";"CCO";"#04210d";""
"2";"Dbpedia";"#0d6912";""
"2";"DC-Terms";"#0d6912";""
"2";"EDxL";"#ebc51d";""
"2";"iContact";"#0d6912";""
"2";"LODE";"#0d6912";""
"2";"MA-Ont";"#0d6912";""
"2";"SIIM";"#0d6912";""
"2";"UFO";"#04210d";""
"1";"ABC";"#04210d";""
"1";"AGROVOC";"#ebc51d";""
"1";"ALOCOM";"#0d6912";""
"1";"AustralianEmergencyManagement-Thesaurus";"#84b823";""
"1";"CAP-standard";"#84b823";""
"1";"CDOEmergency-Management";"#ebc51d";""
"1";"CiTO";"#0d6912";""
"1";"communityBasedOntology";"#ebc51d";""
"1";"CRED-glossary";"#84b823";""
"1";"DisasterManagementCoreOntology";"#ebc51d";""
"1";"DisasterOntology";"#ebc51d";""
"1";"EmergencyCrisisCommunication-Vocabulary";"#ebc51d";""
"1";"EMO-glossary";"#84b823";""
"1";"Event-Model-F";"#ebc51d";""
"1";"FEMA-glossary";"#84b823";""
"1";"GEMET";"#84b823";""
"1";"Geo-ontology";"#0d6912";""
"1";"GeologicalHazardDomainOntology";"#ebc51d";""
"1";"ICDRM-glossary";"#84b823";""
"1";"ICS-glossary";"#84b823";""
"1";"ISDR-glossary";"#84b823";""
"1";"MONITOR";"#ebc51d";""
"1";"Munich-RE-glossary";"#84b823";""
"1";"NIMS-glossary";"#84b823";""
"1";"OASIS";"#0d6912";""
"1";"ODPs";"#0d6912";""
"1";"OWL-S";"#0d6912";""
"1";"PESCaDO";"#ebc51d";""
"1";"Places-LocationOntology";"#0d6912";""
"1";"PROTON";"#04210d";""
"1";"Prov-O";"#0d6912";""
"1";"RDFG";"#0d6912";""
"1";"SCOT";"#0d6912";""
"1";"SEM";"#ebc51d";""
"1";"tsunamis-glossary";"#84b823";""
"1";"UNHCR-terminology";"#84b823";""
"1";"UNU-EHS-glossary";"#84b823";""
"1";"volcanicSystemOntology";"#ebc51d";""
"1";"W3CGeospatial-Vocabulary";"#0d6912";""
"1";"WAI";"#0d6912";""
"1";"WeatherOntology";"#ebc51d";""
"1";"wildLandFires-glossary";"#84b823";""
